icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
adf128,1673131453,KJFK,1673148589,KPHX,JBU135  ,2260,148,876.0,71.0,0,10
a8a017,1673131323,KJFK,1673140087,KMIA,JBU2093 ,8073,651,4043.0,66.0,0,5
a1a917,1673131308,KJFK,1673134459,KROC,JBU1186 ,1588,87,798.0,117.0,0,13
3c6509,1673131129,KJFK,1673156424,EDDM,DLH411  ,2758,64,2820.0,3.0,0,3
ab4840,1673130918,KJFK,1673161269,LGAV,DAL202  ,2959,102,27421.0,972.0,0,0
a16ff1,1673130834,KJFK,1673149496,KLAX,DAL1058 ,1933,95,2689.0,53.0,0,7
ab6020,1673130783,KJFK,1673148709,KLAS,DAL469  ,2293,125,1837.0,123.0,0,4
346146,1673130398,KJFK,1673151265,LEMD,IBE6250 ,2363,102,1884.0,67.0,0,3
a008c9,1673130094,KJFK,1673140127,KMSY,DAL1281 ,1744,133,1097.0,100.0,0,5
a4034f,1673129851,KJFK,1673134033,KRDU,JBU1185 ,1797,102,3060.0,33.0,0,6
a01112,1673129794,KJFK,1673147814,KLAS,AAL758  ,2305,270,1374.0,116.0,0,4
a03f84,1673129721,KJFK,1673132173,KBOS,RPA4349 ,1501,102,8313.0,352.0,0,1
a37df6,1673129668,KJFK,1673137765,KMCO,JBU883  ,2208,133,3948.0,24.0,0,7
a0f44c,1673129554,KJFK,1673155459,LIRF,DAL182  ,1954,102,2878.0,3.0,0,3
a39113,1673129490,KJFK,1673134474,KDTW,EDV5074 ,1749,87,6554.0,161.0,0,10
a3f1d6,1673129348,KJFK,1673133526,KBKL,XOJ353  ,1004,125,1470.0,919.0,0,6
a4b827,1673129217,KJFK,1673152311,EHAM,DAL46   ,2213,110,1052.0,117.0,0,0
4d231a,1673129109,KJFK,1673153396,EDDF,CFG2017 ,2787,140,1769.0,49.0,0,5
